Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Falha ao medir latência, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 321.939 ms
Latência uRLLC (RTT local): 1178.571 ms
Latência uRLLC (RTT local): 4443.422 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 56.822 ms
Latência uRLLC (RTT local): 582.270 ms
Latência uRLLC (RTT local): 701.500 ms
Latência uRLLC (RTT local): 657.641 ms
Latência uRLLC (RTT local): 56.834 ms
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 5.603 ms
Latência uRLLC (RTT local): 0.698 ms
Latência uRLLC (RTT local): 1.175 ms
Latência uRLLC (RTT local): 1.367 ms
Latência uRLLC (RTT local): 1.302 ms
Latência uRLLC (RTT local): 1.647 ms
Latência uRLLC (RTT local): 1.359 ms
Latência uRLLC (RTT local): 1.281 ms
Latência uRLLC (RTT local): 1.103 ms
Latência uRLLC (RTT local): 1.207 ms
Latência uRLLC (RTT local): 1.642 ms
Latência uRLLC (RTT local): 2.949 ms
Latência uRLLC (RTT local): 1.404 ms
Latência uRLLC (RTT local): 1.935 ms
Latência uRLLC (RTT local): 1.551 ms
Latência uRLLC (RTT local): 1.534 ms
Latência uRLLC (RTT local): 1.983 ms
Latência uRLLC (RTT local): 1.835 ms
Latência uRLLC (RTT local): 2.096 ms
Latência uRLLC (RTT local): 1.068 ms
Latência uRLLC (RTT local): 1.643 ms
Latência uRLLC (RTT local): 2.132 ms
Latência uRLLC (RTT local): 1.627 ms
Latência uRLLC (RTT local): 1.535 ms
Latência uRLLC (RTT local): 1.860 ms
Latência uRLLC (RTT local): 1.326 ms
Latência uRLLC (RTT local): 1.508 ms
Latência uRLLC (RTT local): 1.363 ms
Latência uRLLC (RTT local): 1.238 ms
Latência uRLLC (RTT local): 1.883 ms
Gerador uRLLC finalizado. 38 medições salvas; tentativas=46, falhas=8
