timestamp_recebimento,ip_origem,site,sequencia,latencia_ms
1784976932.424134,10.0.31.1,Reitoria,0,55.762
1784976933.095968,10.0.31.1,Reitoria,1,313.828
1784976936.366302,10.0.31.1,Reitoria,2,56.060
1784976936.523009,10.0.31.1,Reitoria,3,55.882
1784976936.680607,10.0.31.1,Reitoria,4,56.215
1784976939.538103,10.0.11.1,Biblioteca,0,5112.907
1784976939.638246,10.0.11.1,Biblioteca,0,56.076
1784976940.055534,10.0.11.1,Biblioteca,1,56.170
1784976941.264266,10.0.11.1,Biblioteca,2,1107.893
1784976943.121622,10.0.11.1,Biblioteca,3,659.529
1784976943.280188,10.0.11.1,Biblioteca,4,56.472
1784976948.563313,10.0.11.1,Biblioteca,5,55.889
1784976948.744930,10.0.31.1,Reitoria,5,56.173
1784976950.959171,10.0.31.1,Reitoria,6,56.644
1784976951.115190,10.0.31.1,Reitoria,7,55.329
1784976951.536768,10.0.31.1,Reitoria,8,320.015
1784976951.693440,10.0.31.1,Reitoria,9,55.837
1784976952.109739,10.0.31.1,Reitoria,10,55.994
1784976952.968704,10.0.31.1,Reitoria,11,496.504
1784976953.653984,10.0.31.1,Reitoria,12,56.274
1784976953.810758,10.0.31.1,Reitoria,13,55.680
1784976955.062001,10.0.31.1,Reitoria,14,55.964
1784976957.128933,10.0.11.1,Biblioteca,5,375.401
1784976957.285943,10.0.11.1,Biblioteca,6,56.002
1784976957.704830,10.0.11.1,Biblioteca,7,318.097
1784976958.673167,10.0.11.1,Biblioteca,8,863.667
1784976959.861972,10.0.11.1,Biblioteca,9,56.010
1784976960.019948,10.0.11.1,Biblioteca,10,55.993
1784976960.177217,10.0.11.1,Biblioteca,11,55.709
1784976963.400640,10.0.31.1,Reitoria,15,56.036
1784976963.814002,10.0.31.1,Reitoria,16,55.972
1784976963.928985,10.0.21.1,Laboratorios,0,320.135
1784976964.086948,10.0.21.1,Laboratorios,1,55.884
1784976964.232363,10.0.31.1,Reitoria,17,316.843
1784976964.389148,10.0.31.1,Reitoria,18,55.948
1784976964.546134,10.0.31.1,Reitoria,19,56.139
1784976964.703290,10.0.31.1,Reitoria,20,55.748
1784976964.860194,10.0.31.1,Reitoria,21,55.991
1784976965.016944,10.0.31.1,Reitoria,22,56.071
