Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Latência uRLLC (RTT local): 0.742 ms
Latência uRLLC (RTT local): 0.610 ms
Latência uRLLC (RTT local): 0.501 ms
Latência uRLLC (RTT local): 0.586 ms
Latência uRLLC (RTT local): 0.594 ms
Latência uRLLC (RTT local): 0.625 ms
Latência uRLLC (RTT local): 0.658 ms
Latência uRLLC (RTT local): 0.781 ms
Latência uRLLC (RTT local): 0.548 ms
Latência uRLLC (RTT local): 0.716 ms
Latência uRLLC (RTT local): 0.738 ms
Latência uRLLC (RTT local): 0.847 ms
Latência uRLLC (RTT local): 0.693 ms
Latência uRLLC (RTT local): 0.626 ms
Latência uRLLC (RTT local): 0.594 ms
Latência uRLLC (RTT local): 0.673 ms
Latência uRLLC (RTT local): 0.561 ms
Latência uRLLC (RTT local): 0.635 ms
Latência uRLLC (RTT local): 0.776 ms
Latência uRLLC (RTT local): 1.032 ms
Latência uRLLC (RTT local): 0.943 ms
Latência uRLLC (RTT local): 0.640 ms
Latência uRLLC (RTT local): 0.528 ms
Latência uRLLC (RTT local): 0.582 ms
Latência uRLLC (RTT local): 0.841 ms
Latência uRLLC (RTT local): 0.828 ms
Latência uRLLC (RTT local): 0.763 ms
Latência uRLLC (RTT local): 0.802 ms
Latência uRLLC (RTT local): 0.744 ms
Latência uRLLC (RTT local): 0.625 ms
Latência uRLLC (RTT local): 0.682 ms
Latência uRLLC (RTT local): 0.604 ms
Latência uRLLC (RTT local): 0.604 ms
Latência uRLLC (RTT local): 0.510 ms
Latência uRLLC (RTT local): 0.553 ms
Latência uRLLC (RTT local): 0.489 ms
Latência uRLLC (RTT local): 0.690 ms
Latência uRLLC (RTT local): 0.565 ms
Latência uRLLC (RTT local): 0.553 ms
Latência uRLLC (RTT local): 0.484 ms
Latência uRLLC (RTT local): 0.698 ms
Latência uRLLC (RTT local): 0.512 ms
Latência uRLLC (RTT local): 0.577 ms
Latência uRLLC (RTT local): 0.723 ms
Latência uRLLC (RTT local): 0.563 ms
Latência uRLLC (RTT local): 0.614 ms
Latência uRLLC (RTT local): 1.054 ms
Latência uRLLC (RTT local): 0.684 ms
Latência uRLLC (RTT local): 0.803 ms
Latência uRLLC (RTT local): 1.161 ms
Latência uRLLC (RTT local): 0.897 ms
Latência uRLLC (RTT local): 1.099 ms
Latência uRLLC (RTT local): 0.633 ms
Latência uRLLC (RTT local): 1.059 ms
Latência uRLLC (RTT local): 0.550 ms
Latência uRLLC (RTT local): 0.798 ms
Latência uRLLC (RTT local): 1.329 ms
Latência uRLLC (RTT local): 0.506 ms
Latência uRLLC (RTT local): 1.075 ms
Latência uRLLC (RTT local): 0.574 ms
Latência uRLLC (RTT local): 0.825 ms
Latência uRLLC (RTT local): 0.789 ms
Latência uRLLC (RTT local): 0.568 ms
Latência uRLLC (RTT local): 0.814 ms
Latência uRLLC (RTT local): 0.514 ms
Latência uRLLC (RTT local): 0.636 ms
Latência uRLLC (RTT local): 0.568 ms
Latência uRLLC (RTT local): 0.541 ms
Latência uRLLC (RTT local): 0.653 ms
Latência uRLLC (RTT local): 0.537 ms
Latência uRLLC (RTT local): 0.651 ms
Latência uRLLC (RTT local): 0.529 ms
Latência uRLLC (RTT local): 0.552 ms
Latência uRLLC (RTT local): 0.576 ms
Latência uRLLC (RTT local): 0.613 ms
Latência uRLLC (RTT local): 0.839 ms
Latência uRLLC (RTT local): 0.789 ms
Latência uRLLC (RTT local): 0.632 ms
Latência uRLLC (RTT local): 0.742 ms
Latência uRLLC (RTT local): 0.505 ms
Latência uRLLC (RTT local): 0.491 ms
Latência uRLLC (RTT local): 0.592 ms
Latência uRLLC (RTT local): 0.518 ms
Latência uRLLC (RTT local): 0.655 ms
Latência uRLLC (RTT local): 0.597 ms
Latência uRLLC (RTT local): 0.710 ms
Latência uRLLC (RTT local): 0.679 ms
Latência uRLLC (RTT local): 1.087 ms
Latência uRLLC (RTT local): 0.690 ms
Latência uRLLC (RTT local): 0.849 ms
Latência uRLLC (RTT local): 0.932 ms
Latência uRLLC (RTT local): 0.623 ms
Latência uRLLC (RTT local): 0.976 ms
Latência uRLLC (RTT local): 0.890 ms
Latência uRLLC (RTT local): 0.656 ms
Latência uRLLC (RTT local): 0.719 ms
Latência uRLLC (RTT local): 1.108 ms
Latência uRLLC (RTT local): 0.705 ms
Latência uRLLC (RTT local): 0.690 ms
Latência uRLLC (RTT local): 0.795 ms
Latência uRLLC (RTT local): 0.704 ms
Latência uRLLC (RTT local): 0.642 ms
Latência uRLLC (RTT local): 1.053 ms
Latência uRLLC (RTT local): 0.826 ms
Latência uRLLC (RTT local): 0.698 ms
Latência uRLLC (RTT local): 0.672 ms
Latência uRLLC (RTT local): 0.644 ms
Latência uRLLC (RTT local): 0.636 ms
Latência uRLLC (RTT local): 0.677 ms
Latência uRLLC (RTT local): 0.730 ms
Latência uRLLC (RTT local): 0.799 ms
Latência uRLLC (RTT local): 0.988 ms
Latência uRLLC (RTT local): 0.674 ms
Latência uRLLC (RTT local): 1.214 ms
Latência uRLLC (RTT local): 0.728 ms
Latência uRLLC (RTT local): 0.844 ms
Latência uRLLC (RTT local): 0.880 ms
Latência uRLLC (RTT local): 0.715 ms
Latência uRLLC (RTT local): 1.096 ms
Latência uRLLC (RTT local): 1.125 ms
Latência uRLLC (RTT local): 0.857 ms
Latência uRLLC (RTT local): 0.930 ms
Latência uRLLC (RTT local): 0.592 ms
Latência uRLLC (RTT local): 0.439 ms
Latência uRLLC (RTT local): 0.828 ms
Latência uRLLC (RTT local): 0.753 ms
Latência uRLLC (RTT local): 0.578 ms
Latência uRLLC (RTT local): 0.788 ms
Latência uRLLC (RTT local): 0.852 ms
Latência uRLLC (RTT local): 1.148 ms
Latência uRLLC (RTT local): 0.598 ms
Latência uRLLC (RTT local): 0.674 ms
Latência uRLLC (RTT local): 1.009 ms
Latência uRLLC (RTT local): 0.520 ms
Latência uRLLC (RTT local): 0.937 ms
Latência uRLLC (RTT local): 0.713 ms
Latência uRLLC (RTT local): 0.586 ms
Latência uRLLC (RTT local): 1.077 ms
Latência uRLLC (RTT local): 1.319 ms
Latência uRLLC (RTT local): 1.847 ms
Latência uRLLC (RTT local): 2.245 ms
Latência uRLLC (RTT local): 2.550 ms
Latência uRLLC (RTT local): 1.244 ms
Latência uRLLC (RTT local): 2.233 ms
Latência uRLLC (RTT local): 2.503 ms
Latência uRLLC (RTT local): 1.935 ms
Latência uRLLC (RTT local): 2.268 ms
Latência uRLLC (RTT local): 1.627 ms
Latência uRLLC (RTT local): 1.553 ms
Latência uRLLC (RTT local): 1.363 ms
Latência uRLLC (RTT local): 1.579 ms
Latência uRLLC (RTT local): 1.501 ms
Latência uRLLC (RTT local): 2.314 ms
Latência uRLLC (RTT local): 1.535 ms
Latência uRLLC (RTT local): 1.548 ms
Latência uRLLC (RTT local): 1.271 ms
Latência uRLLC (RTT local): 1.075 ms
Latência uRLLC (RTT local): 1.757 ms
Latência uRLLC (RTT local): 1.101 ms
Latência uRLLC (RTT local): 1.500 ms
Latência uRLLC (RTT local): 1.772 ms
Latência uRLLC (RTT local): 1.578 ms
Latência uRLLC (RTT local): 1.837 ms
Latência uRLLC (RTT local): 1.487 ms
Latência uRLLC (RTT local): 1.205 ms
Latência uRLLC (RTT local): 1.193 ms
Latência uRLLC (RTT local): 2.345 ms
Latência uRLLC (RTT local): 1.905 ms
Latência uRLLC (RTT local): 1.467 ms
Latência uRLLC (RTT local): 1.797 ms
Latência uRLLC (RTT local): 1.679 ms
Latência uRLLC (RTT local): 1.560 ms
Latência uRLLC (RTT local): 1.406 ms
Latência uRLLC (RTT local): 1.586 ms
Latência uRLLC (RTT local): 1.958 ms
Latência uRLLC (RTT local): 1.481 ms
Latência uRLLC (RTT local): 1.668 ms
Latência uRLLC (RTT local): 1.689 ms
Latência uRLLC (RTT local): 2.290 ms
Latência uRLLC (RTT local): 2.481 ms
Latência uRLLC (RTT local): 2.007 ms
Latência uRLLC (RTT local): 1.996 ms
Latência uRLLC (RTT local): 0.700 ms
Latência uRLLC (RTT local): 0.702 ms
Latência uRLLC (RTT local): 2.224 ms
Latência uRLLC (RTT local): 0.823 ms
Latência uRLLC (RTT local): 0.934 ms
Latência uRLLC (RTT local): 0.815 ms
Latência uRLLC (RTT local): 0.805 ms
Latência uRLLC (RTT local): 1.091 ms
Latência uRLLC (RTT local): 0.992 ms
Latência uRLLC (RTT local): 0.812 ms
Latência uRLLC (RTT local): 0.909 ms
Latência uRLLC (RTT local): 0.652 ms
Latência uRLLC (RTT local): 1.397 ms
Latência uRLLC (RTT local): 1.303 ms
Latência uRLLC (RTT local): 1.410 ms
Latência uRLLC (RTT local): 0.841 ms
Latência uRLLC (RTT local): 0.809 ms
Latência uRLLC (RTT local): 1.517 ms
Latência uRLLC (RTT local): 1.982 ms
Latência uRLLC (RTT local): 2.212 ms
Latência uRLLC (RTT local): 1.313 ms
Latência uRLLC (RTT local): 1.415 ms
Latência uRLLC (RTT local): 1.771 ms
Latência uRLLC (RTT local): 1.421 ms
Latência uRLLC (RTT local): 2.481 ms
Latência uRLLC (RTT local): 0.836 ms
Latência uRLLC (RTT local): 0.716 ms
Latência uRLLC (RTT local): 0.880 ms
Latência uRLLC (RTT local): 0.824 ms
Latência uRLLC (RTT local): 0.874 ms
Latência uRLLC (RTT local): 0.599 ms
Latência uRLLC (RTT local): 1.037 ms
Latência uRLLC (RTT local): 0.727 ms
Latência uRLLC (RTT local): 0.696 ms
Latência uRLLC (RTT local): 0.586 ms
Latência uRLLC (RTT local): 1.059 ms
Latência uRLLC (RTT local): 1.169 ms
Latência uRLLC (RTT local): 1.046 ms
Latência uRLLC (RTT local): 0.796 ms
Latência uRLLC (RTT local): 0.966 ms
Latência uRLLC (RTT local): 0.532 ms
Latência uRLLC (RTT local): 0.712 ms
Latência uRLLC (RTT local): 0.627 ms
Latência uRLLC (RTT local): 0.967 ms
Latência uRLLC (RTT local): 0.842 ms
Latência uRLLC (RTT local): 0.838 ms
Latência uRLLC (RTT local): 0.703 ms
Latência uRLLC (RTT local): 1.686 ms
Latência uRLLC (RTT local): 1.192 ms
Latência uRLLC (RTT local): 1.815 ms
Latência uRLLC (RTT local): 2.613 ms
Latência uRLLC (RTT local): 1.350 ms
Latência uRLLC (RTT local): 1.220 ms
Latência uRLLC (RTT local): 1.798 ms
Latência uRLLC (RTT local): 1.879 ms
Latência uRLLC (RTT local): 1.661 ms
Latência uRLLC (RTT local): 1.829 ms
Latência uRLLC (RTT local): 1.781 ms
Latência uRLLC (RTT local): 1.155 ms
Latência uRLLC (RTT local): 1.618 ms
Latência uRLLC (RTT local): 1.330 ms
Latência uRLLC (RTT local): 1.224 ms
Latência uRLLC (RTT local): 1.470 ms
Latência uRLLC (RTT local): 1.476 ms
Latência uRLLC (RTT local): 1.578 ms
Latência uRLLC (RTT local): 1.478 ms
Latência uRLLC (RTT local): 1.277 ms
Latência uRLLC (RTT local): 1.196 ms
Latência uRLLC (RTT local): 1.284 ms
Latência uRLLC (RTT local): 1.225 ms
Latência uRLLC (RTT local): 1.398 ms
Latência uRLLC (RTT local): 1.090 ms
Latência uRLLC (RTT local): 1.306 ms
Latência uRLLC (RTT local): 2.392 ms
Latência uRLLC (RTT local): 1.312 ms
Latência uRLLC (RTT local): 1.403 ms
Latência uRLLC (RTT local): 1.232 ms
Latência uRLLC (RTT local): 1.045 ms
Latência uRLLC (RTT local): 1.379 ms
Latência uRLLC (RTT local): 1.833 ms
Latência uRLLC (RTT local): 1.547 ms
Latência uRLLC (RTT local): 1.212 ms
Latência uRLLC (RTT local): 1.345 ms
Latência uRLLC (RTT local): 2.292 ms
Latência uRLLC (RTT local): 1.704 ms
Latência uRLLC (RTT local): 1.550 ms
Latência uRLLC (RTT local): 2.343 ms
Latência uRLLC (RTT local): 1.791 ms
Latência uRLLC (RTT local): 1.141 ms
Latência uRLLC (RTT local): 1.424 ms
Latência uRLLC (RTT local): 1.347 ms
Latência uRLLC (RTT local): 1.270 ms
Latência uRLLC (RTT local): 0.627 ms
Latência uRLLC (RTT local): 0.982 ms
Latência uRLLC (RTT local): 0.676 ms
Latência uRLLC (RTT local): 0.743 ms
Latência uRLLC (RTT local): 0.735 ms
Latência uRLLC (RTT local): 0.642 ms
Latência uRLLC (RTT local): 0.648 ms
Latência uRLLC (RTT local): 0.609 ms
Latência uRLLC (RTT local): 0.661 ms
Latência uRLLC (RTT local): 0.728 ms
Latência uRLLC (RTT local): 0.766 ms
Latência uRLLC (RTT local): 0.778 ms
Latência uRLLC (RTT local): 0.606 ms
Latência uRLLC (RTT local): 0.670 ms
Latência uRLLC (RTT local): 1.215 ms
Latência uRLLC (RTT local): 0.849 ms
Latência uRLLC (RTT local): 1.186 ms
Latência uRLLC (RTT local): 0.675 ms
Latência uRLLC (RTT local): 1.227 ms
Latência uRLLC (RTT local): 0.701 ms
Latência uRLLC (RTT local): 0.690 ms
Latência uRLLC (RTT local): 0.685 ms
Latência uRLLC (RTT local): 0.509 ms
Latência uRLLC (RTT local): 0.583 ms
Latência uRLLC (RTT local): 0.570 ms
Latência uRLLC (RTT local): 0.663 ms
Latência uRLLC (RTT local): 0.773 ms
Latência uRLLC (RTT local): 0.717 ms
Latência uRLLC (RTT local): 0.640 ms
Latência uRLLC (RTT local): 1.217 ms
Latência uRLLC (RTT local): 1.045 ms
Latência uRLLC (RTT local): 0.676 ms
Latência uRLLC (RTT local): 0.584 ms
Latência uRLLC (RTT local): 0.522 ms
Latência uRLLC (RTT local): 0.623 ms
Latência uRLLC (RTT local): 0.952 ms
Latência uRLLC (RTT local): 0.492 ms
Latência uRLLC (RTT local): 0.587 ms
Latência uRLLC (RTT local): 0.544 ms
Latência uRLLC (RTT local): 0.602 ms
Latência uRLLC (RTT local): 0.505 ms
Latência uRLLC (RTT local): 0.658 ms
Latência uRLLC (RTT local): 1.007 ms
Latência uRLLC (RTT local): 0.942 ms
Latência uRLLC (RTT local): 0.741 ms
Latência uRLLC (RTT local): 0.659 ms
Latência uRLLC (RTT local): 0.748 ms
Latência uRLLC (RTT local): 0.738 ms
Latência uRLLC (RTT local): 0.661 ms
Latência uRLLC (RTT local): 0.532 ms
Latência uRLLC (RTT local): 0.491 ms
Latência uRLLC (RTT local): 0.528 ms
Latência uRLLC (RTT local): 0.493 ms
Latência uRLLC (RTT local): 0.466 ms
Latência uRLLC (RTT local): 0.695 ms
Latência uRLLC (RTT local): 0.696 ms
Latência uRLLC (RTT local): 0.651 ms
Latência uRLLC (RTT local): 0.643 ms
Latência uRLLC (RTT local): 0.633 ms
Latência uRLLC (RTT local): 0.930 ms
Latência uRLLC (RTT local): 0.632 ms
Latência uRLLC (RTT local): 0.927 ms
Latência uRLLC (RTT local): 0.749 ms
Latência uRLLC (RTT local): 0.538 ms
Latência uRLLC (RTT local): 0.479 ms
Latência uRLLC (RTT local): 0.665 ms
Latência uRLLC (RTT local): 0.636 ms
Latência uRLLC (RTT local): 0.627 ms
Latência uRLLC (RTT local): 0.749 ms
Latência uRLLC (RTT local): 0.769 ms
Latência uRLLC (RTT local): 0.720 ms
Latência uRLLC (RTT local): 0.538 ms
Latência uRLLC (RTT local): 0.752 ms
Latência uRLLC (RTT local): 0.508 ms
Latência uRLLC (RTT local): 0.722 ms
Latência uRLLC (RTT local): 0.545 ms
Latência uRLLC (RTT local): 0.505 ms
Latência uRLLC (RTT local): 0.640 ms
Latência uRLLC (RTT local): 0.699 ms
Latência uRLLC (RTT local): 0.518 ms
Latência uRLLC (RTT local): 0.498 ms
Latência uRLLC (RTT local): 0.475 ms
Latência uRLLC (RTT local): 0.529 ms
Latência uRLLC (RTT local): 0.641 ms
Latência uRLLC (RTT local): 1.014 ms
Latência uRLLC (RTT local): 0.527 ms
Latência uRLLC (RTT local): 0.515 ms
Latência uRLLC (RTT local): 0.615 ms
