latencia_ms
0.993
0.808
1.328
1.200
1.064
1.583
1.574
0.593
0.753
1.361
1.611
0.914
1.254
2.007
0.894
1.420
0.961
0.488
0.935
0.953
0.817
1.460
0.885
0.892
0.991
0.717
0.781
5.938
1.967
0.971
1.700
1.721
1.255
1.233
1.023
1.317
1.033
0.970
0.515
0.540
1.215
0.780
1.401
1.066
1.297
0.955
0.907
1.191
0.615
0.954
0.884
0.905
0.909
1.598
1.095
0.913
0.669
0.841
0.583
0.995
0.916
1.125
0.919
1.215
5.593
2.164
0.997
0.892
1.037
0.720
0.935
1.278
1.284
0.754
0.811
1.422
1.113
1.162
1.129
0.688
0.767
0.930
0.767
0.786
0.829
1.031
1.298
1.353
0.771
0.732
0.647
0.875
0.854
0.960
1.138
1.302
0.738
1.184
1.215
1.020
1.395
1.055
1.831
1.072
1.067
1.315
0.875
1.100
1.254
1.098
0.766
1.867
1.368
0.979
1.251
1.360
1.086
0.844
0.897
0.932
0.704
0.815
0.890
1.261
1.048
1.091
1.143
0.926
1.013
0.875
0.642
1.194
1.299
1.229
1.330
1.214
0.901
1.384
1.087
1.337
0.767
1.123
1.410
0.942
1.953
1.403
1.060
0.991
1.244
1.226
1.323
0.622
0.726
1.587
1.133
0.985
1.426
1.128
0.915
1.637
0.939
0.670
0.824
1.239
0.993
0.872
1.106
1.173
1.136
1.099
0.941
0.654
1.651
1.045
1.033
1.047
1.192
1.251
1.277
0.949
1.143
0.736
0.763
0.934
1.027
0.814
0.963
0.834
1.513
1.126
1.092
0.803
0.735
1.228
0.870
1.442
0.993
1.160
1.362
1.149
1.373
1.527
0.762
0.819
1.396
1.139
1.298
0.964
0.920
1.297
0.983
0.932
0.757
1.346
1.239
2.491
0.817
1.380
0.729
1.200
1.082
0.959
0.804
4.210
1.289
1.280
0.756
0.976
1.305
0.996
1.718
0.750
0.942
0.848
0.697
0.911
0.775
1.310
2.085
0.953
0.994
0.843
0.747
1.141
1.005
1.381
0.897
1.061
1.223
1.103
1.359
0.830
0.944
1.034
0.967
1.104
1.582
1.897
1.446
0.868
1.368
1.042
1.197
0.843
0.976
1.003
0.696
0.725
0.839
0.703
0.940
0.815
0.803
0.721
0.758
0.660
0.718
0.840
0.762
0.765
0.792
0.763
0.808
0.879
0.867
0.741
0.695
0.687
0.796
0.689
0.695
0.681
0.745
1.091
0.781
0.716
0.696
0.714
0.664
0.835
0.847
0.736
0.849
0.718
1.000
1.231
0.719
0.798
1.891
1.612
1.644
1.612
1.462
1.727
2.751
1.565
1.733
3.737
1.279
2.586
1.433
1.403
1.799
1.530
2.894
1.520
1.334
1.497
1.580
1.888
1.607
2.218
1.829
1.396
1.918
1.482
1.431
1.474
1.795
1.866
2.042
1.644
1.549
3.024
1.984
1.332
2.353
2.220
1.426
2.140
1.417
1.976
1.683
1.641
0.987
1.402
0.807
1.465
0.681
1.120
1.086
1.118
1.701
0.681
0.894
0.741
0.873
1.349
1.150
0.712
0.795
1.445
2.054
1.519
3.071
1.486
2.105
1.634
2.096
1.757
1.137
0.991
1.189
1.396
0.462
7.385
0.993
0.499
0.765
0.670
1.257
0.832
1.122
0.634
0.800
0.963
1.349
0.950
1.010
0.650
0.567
1.184
1.482
2.638
4.949
2.012
1.969
1.505
1.995
3.278
2.250
2.207
1.240
1.851
1.513
1.309
1.880
1.101
1.625
8.110
2.624
1.117
1.689
3.238
2.467
2.536
1.614
0.850
1.633
2.063
1.681
1.432
2.015
1.699
1.985
1.575
1.468
2.050
3.205
3.002
2.571
1.327
1.721
1.958
3.410
1.731
0.811
0.667
0.796
0.911
0.644
0.822
0.500
1.285
1.108
0.538
0.538
1.269
0.540
0.600
1.189
1.280
0.906
0.782
0.885
0.886
0.816
0.655
1.796
0.683
0.727
1.219
1.254
1.508
1.127
0.730
3.220
4.025
1.322
1.821
0.944
1.116
1.167
1.275
0.696
0.753
0.802
1.126
0.947
0.862
1.517
0.833
0.628
1.356
1.310
0.553
0.532
0.489
0.562
0.689
1.230
0.746
0.564
0.573
0.587
0.641
0.583
0.673
0.623
0.736
0.522
1.019
1.251
1.343
1.111
1.112
0.529
0.555
0.576
0.637
0.786
1.417
0.582
0.843
0.991
0.999
0.516
0.954
0.969
1.236
1.338
1.315
1.215
1.347
1.308
2.745
1.018
1.961
1.916
0.726
1.177
0.821
0.920
1.466
0.891
1.906
0.641
1.226
1.738
1.238
0.795
0.943
0.553
0.670
0.663
0.579
0.876
0.654
0.654
0.954
0.991
1.063
1.003
1.105
0.540
1.232
0.432
0.989
0.964
0.688
0.566
0.783
0.823
0.702
0.485
0.683
0.584
1.056
0.550
0.594
0.539
1.282
1.155
0.879
0.944
1.322
1.368
0.959
