Iniciando monitor/controlador uRLLC em 10.0.99.1:5000 (Central de Monitoramento do campus)
Latência medida: 2.352 ms (de 10.0.31.1 - Reitoria, seq=27)
Latência medida: 1.019 ms (de 10.0.31.1 - Reitoria, seq=28)
Latência medida: 0.850 ms (de 10.0.21.1 - Laboratorios, seq=28)
Latência medida: 1.325 ms (de 10.0.11.1 - Biblioteca, seq=28)
Latência medida: 0.540 ms (de 10.0.31.1 - Reitoria, seq=29)
Latência medida: 0.563 ms (de 10.0.11.1 - Biblioteca, seq=29)
Latência medida: 1.015 ms (de 10.0.21.1 - Laboratorios, seq=29)
Latência medida: 0.460 ms (de 10.0.31.1 - Reitoria, seq=30)
Latência medida: 0.991 ms (de 10.0.11.1 - Biblioteca, seq=30)
Latência medida: 1.018 ms (de 10.0.21.1 - Laboratorios, seq=30)
Latência medida: 0.608 ms (de 10.0.31.1 - Reitoria, seq=31)
Latência medida: 0.761 ms (de 10.0.21.1 - Laboratorios, seq=31)
Latência medida: 1.235 ms (de 10.0.11.1 - Biblioteca, seq=31)
Latência medida: 0.578 ms (de 10.0.21.1 - Laboratorios, seq=32)
Latência medida: 0.609 ms (de 10.0.31.1 - Reitoria, seq=32)
Latência medida: 0.808 ms (de 10.0.11.1 - Biblioteca, seq=32)
Latência medida: 0.656 ms (de 10.0.11.1 - Biblioteca, seq=33)
Latência medida: 0.712 ms (de 10.0.31.1 - Reitoria, seq=33)
Latência medida: 0.459 ms (de 10.0.21.1 - Laboratorios, seq=33)
Latência medida: 0.591 ms (de 10.0.31.1 - Reitoria, seq=34)
Latência medida: 0.420 ms (de 10.0.11.1 - Biblioteca, seq=34)
Latência medida: 0.447 ms (de 10.0.21.1 - Laboratorios, seq=34)
Latência medida: 0.714 ms (de 10.0.31.1 - Reitoria, seq=35)
Latência medida: 0.582 ms (de 10.0.21.1 - Laboratorios, seq=35)
Latência medida: 0.864 ms (de 10.0.11.1 - Biblioteca, seq=35)
Latência medida: 0.436 ms (de 10.0.31.1 - Reitoria, seq=36)
Latência medida: 0.355 ms (de 10.0.21.1 - Laboratorios, seq=36)
Latência medida: 0.497 ms (de 10.0.11.1 - Biblioteca, seq=36)
Latência medida: 0.480 ms (de 10.0.31.1 - Reitoria, seq=37)
Latência medida: 0.442 ms (de 10.0.21.1 - Laboratorios, seq=37)
Latência medida: 0.587 ms (de 10.0.11.1 - Biblioteca, seq=37)
Latência medida: 0.428 ms (de 10.0.31.1 - Reitoria, seq=38)
Latência medida: 0.382 ms (de 10.0.21.1 - Laboratorios, seq=38)
Latência medida: 0.260 ms (de 10.0.11.1 - Biblioteca, seq=38)
Latência medida: 0.352 ms (de 10.0.21.1 - Laboratorios, seq=39)
Latência medida: 0.278 ms (de 10.0.31.1 - Reitoria, seq=39)
Latência medida: 0.259 ms (de 10.0.11.1 - Biblioteca, seq=39)
Latência medida: 0.548 ms (de 10.0.21.1 - Laboratorios, seq=40)
Latência medida: 0.422 ms (de 10.0.31.1 - Reitoria, seq=40)
Latência medida: 0.726 ms (de 10.0.11.1 - Biblioteca, seq=40)
Latência medida: 0.586 ms (de 10.0.21.1 - Laboratorios, seq=41)
Latência medida: 0.542 ms (de 10.0.31.1 - Reitoria, seq=41)
Latência medida: 0.406 ms (de 10.0.11.1 - Biblioteca, seq=41)
Latência medida: 0.661 ms (de 10.0.21.1 - Laboratorios, seq=42)
Latência medida: 0.488 ms (de 10.0.31.1 - Reitoria, seq=42)
Latência medida: 0.722 ms (de 10.0.11.1 - Biblioteca, seq=42)
Latência medida: 0.444 ms (de 10.0.21.1 - Laboratorios, seq=43)
Latência medida: 0.378 ms (de 10.0.31.1 - Reitoria, seq=43)
Latência medida: 0.607 ms (de 10.0.11.1 - Biblioteca, seq=43)
Latência medida: 0.646 ms (de 10.0.31.1 - Reitoria, seq=44)
Latência medida: 0.599 ms (de 10.0.21.1 - Laboratorios, seq=44)
Latência medida: 0.709 ms (de 10.0.11.1 - Biblioteca, seq=44)
Latência medida: 0.616 ms (de 10.0.31.1 - Reitoria, seq=45)
Latência medida: 0.687 ms (de 10.0.21.1 - Laboratorios, seq=45)
Latência medida: 0.490 ms (de 10.0.11.1 - Biblioteca, seq=45)
Latência medida: 0.602 ms (de 10.0.31.1 - Reitoria, seq=46)
Latência medida: 0.645 ms (de 10.0.21.1 - Laboratorios, seq=46)
Latência medida: 0.391 ms (de 10.0.11.1 - Biblioteca, seq=46)
Latência medida: 0.464 ms (de 10.0.21.1 - Laboratorios, seq=47)
Latência medida: 0.468 ms (de 10.0.31.1 - Reitoria, seq=47)
Latência medida: 0.692 ms (de 10.0.11.1 - Biblioteca, seq=47)
Latência medida: 0.423 ms (de 10.0.21.1 - Laboratorios, seq=48)
Latência medida: 0.239 ms (de 10.0.31.1 - Reitoria, seq=48)
Latência medida: 0.378 ms (de 10.0.11.1 - Biblioteca, seq=48)
Latência medida: 0.589 ms (de 10.0.21.1 - Laboratorios, seq=49)
Latência medida: 0.440 ms (de 10.0.31.1 - Reitoria, seq=49)
Latência medida: 0.581 ms (de 10.0.11.1 - Biblioteca, seq=49)
Latência medida: 0.647 ms (de 10.0.21.1 - Laboratorios, seq=50)
Latência medida: 0.386 ms (de 10.0.31.1 - Reitoria, seq=50)
Latência medida: 0.345 ms (de 10.0.11.1 - Biblioteca, seq=50)
Latência medida: 0.883 ms (de 10.0.21.1 - Laboratorios, seq=51)
Latência medida: 0.881 ms (de 10.0.31.1 - Reitoria, seq=51)
Latência medida: 0.555 ms (de 10.0.11.1 - Biblioteca, seq=51)
Latência medida: 0.518 ms (de 10.0.21.1 - Laboratorios, seq=52)
Latência medida: 0.489 ms (de 10.0.31.1 - Reitoria, seq=52)
Latência medida: 0.633 ms (de 10.0.11.1 - Biblioteca, seq=52)
Latência medida: 0.522 ms (de 10.0.21.1 - Laboratorios, seq=53)
Latência medida: 0.405 ms (de 10.0.31.1 - Reitoria, seq=53)
Latência medida: 0.952 ms (de 10.0.11.1 - Biblioteca, seq=53)
Latência medida: 0.624 ms (de 10.0.31.1 - Reitoria, seq=54)
Latência medida: 0.460 ms (de 10.0.21.1 - Laboratorios, seq=54)
Latência medida: 0.617 ms (de 10.0.11.1 - Biblioteca, seq=54)
Latência medida: 0.600 ms (de 10.0.21.1 - Laboratorios, seq=55)
Latência medida: 0.597 ms (de 10.0.31.1 - Reitoria, seq=55)
Latência medida: 0.444 ms (de 10.0.11.1 - Biblioteca, seq=55)
Latência medida: 0.592 ms (de 10.0.31.1 - Reitoria, seq=56)
Latência medida: 0.652 ms (de 10.0.21.1 - Laboratorios, seq=56)
Latência medida: 0.381 ms (de 10.0.11.1 - Biblioteca, seq=56)
Latência medida: 0.613 ms (de 10.0.31.1 - Reitoria, seq=57)
Latência medida: 0.395 ms (de 10.0.11.1 - Biblioteca, seq=57)
Latência medida: 0.494 ms (de 10.0.21.1 - Laboratorios, seq=57)
Latência medida: 0.330 ms (de 10.0.31.1 - Reitoria, seq=58)
Latência medida: 0.321 ms (de 10.0.11.1 - Biblioteca, seq=58)
Latência medida: 0.290 ms (de 10.0.21.1 - Laboratorios, seq=58)
Latência medida: 0.479 ms (de 10.0.31.1 - Reitoria, seq=59)
Latência medida: 0.564 ms (de 10.0.11.1 - Biblioteca, seq=59)
Latência medida: 0.522 ms (de 10.0.21.1 - Laboratorios, seq=59)
Latência medida: 0.524 ms (de 10.0.31.1 - Reitoria, seq=60)
Latência medida: 0.440 ms (de 10.0.11.1 - Biblioteca, seq=60)
Latência medida: 0.727 ms (de 10.0.21.1 - Laboratorios, seq=60)
Latência medida: 0.364 ms (de 10.0.31.1 - Reitoria, seq=61)
Latência medida: 0.593 ms (de 10.0.11.1 - Biblioteca, seq=61)
Latência medida: 0.440 ms (de 10.0.21.1 - Laboratorios, seq=61)
Latência medida: 0.543 ms (de 10.0.31.1 - Reitoria, seq=62)
Latência medida: 0.396 ms (de 10.0.11.1 - Biblioteca, seq=62)
Latência medida: 0.610 ms (de 10.0.21.1 - Laboratorios, seq=62)
Latência medida: 0.602 ms (de 10.0.31.1 - Reitoria, seq=63)
Latência medida: 0.694 ms (de 10.0.11.1 - Biblioteca, seq=63)
Latência medida: 0.762 ms (de 10.0.21.1 - Laboratorios, seq=63)
Latência medida: 1.108 ms (de 10.0.31.1 - Reitoria, seq=64)
Latência medida: 1.036 ms (de 10.0.11.1 - Biblioteca, seq=64)
Latência medida: 0.570 ms (de 10.0.21.1 - Laboratorios, seq=64)
Latência medida: 1.203 ms (de 10.0.31.1 - Reitoria, seq=65)
Latência medida: 0.990 ms (de 10.0.11.1 - Biblioteca, seq=65)
Latência medida: 0.558 ms (de 10.0.21.1 - Laboratorios, seq=65)
Latência medida: 0.485 ms (de 10.0.31.1 - Reitoria, seq=66)
Latência medida: 0.550 ms (de 10.0.11.1 - Biblioteca, seq=66)
Latência medida: 0.403 ms (de 10.0.21.1 - Laboratorios, seq=66)
Latência medida: 0.590 ms (de 10.0.21.1 - Laboratorios, seq=67)
Latência medida: 0.384 ms (de 10.0.31.1 - Reitoria, seq=67)
Latência medida: 0.542 ms (de 10.0.11.1 - Biblioteca, seq=67)
Latência medida: 0.582 ms (de 10.0.21.1 - Laboratorios, seq=68)
Latência medida: 0.364 ms (de 10.0.31.1 - Reitoria, seq=68)
Latência medida: 0.366 ms (de 10.0.11.1 - Biblioteca, seq=68)
Latência medida: 0.365 ms (de 10.0.31.1 - Reitoria, seq=69)
Latência medida: 0.695 ms (de 10.0.21.1 - Laboratorios, seq=69)
Latência medida: 0.412 ms (de 10.0.11.1 - Biblioteca, seq=69)
Latência medida: 0.634 ms (de 10.0.31.1 - Reitoria, seq=70)
Latência medida: 0.936 ms (de 10.0.21.1 - Laboratorios, seq=70)
Latência medida: 0.500 ms (de 10.0.11.1 - Biblioteca, seq=70)
Latência medida: 0.602 ms (de 10.0.31.1 - Reitoria, seq=71)
Latência medida: 0.664 ms (de 10.0.21.1 - Laboratorios, seq=71)
Latência medida: 0.762 ms (de 10.0.11.1 - Biblioteca, seq=71)
Latência medida: 0.434 ms (de 10.0.31.1 - Reitoria, seq=72)
Latência medida: 0.552 ms (de 10.0.21.1 - Laboratorios, seq=72)
Latência medida: 0.535 ms (de 10.0.11.1 - Biblioteca, seq=72)
Latência medida: 0.630 ms (de 10.0.21.1 - Laboratorios, seq=73)
Latência medida: 0.447 ms (de 10.0.31.1 - Reitoria, seq=73)
Latência medida: 0.416 ms (de 10.0.11.1 - Biblioteca, seq=73)
Latência medida: 0.992 ms (de 10.0.21.1 - Laboratorios, seq=74)
Latência medida: 0.555 ms (de 10.0.31.1 - Reitoria, seq=74)
Latência medida: 0.441 ms (de 10.0.11.1 - Biblioteca, seq=74)
Latência medida: 0.404 ms (de 10.0.31.1 - Reitoria, seq=75)
Latência medida: 0.392 ms (de 10.0.21.1 - Laboratorios, seq=75)
Latência medida: 0.796 ms (de 10.0.11.1 - Biblioteca, seq=75)
Latência medida: 0.524 ms (de 10.0.31.1 - Reitoria, seq=76)
Latência medida: 0.361 ms (de 10.0.21.1 - Laboratorios, seq=76)
Latência medida: 0.633 ms (de 10.0.11.1 - Biblioteca, seq=76)
Latência medida: 0.648 ms (de 10.0.31.1 - Reitoria, seq=77)
Latência medida: 0.555 ms (de 10.0.21.1 - Laboratorios, seq=77)
Latência medida: 0.699 ms (de 10.0.11.1 - Biblioteca, seq=77)
Latência medida: 0.545 ms (de 10.0.31.1 - Reitoria, seq=78)
Latência medida: 0.573 ms (de 10.0.21.1 - Laboratorios, seq=78)
Latência medida: 0.640 ms (de 10.0.11.1 - Biblioteca, seq=78)
Latência medida: 0.470 ms (de 10.0.31.1 - Reitoria, seq=79)
Latência medida: 0.718 ms (de 10.0.21.1 - Laboratorios, seq=79)
Latência medida: 0.425 ms (de 10.0.11.1 - Biblioteca, seq=79)
Latência medida: 0.598 ms (de 10.0.31.1 - Reitoria, seq=80)
Latência medida: 0.862 ms (de 10.0.21.1 - Laboratorios, seq=80)
Latência medida: 0.449 ms (de 10.0.11.1 - Biblioteca, seq=80)
Latência medida: 0.729 ms (de 10.0.21.1 - Laboratorios, seq=81)
Latência medida: 0.593 ms (de 10.0.31.1 - Reitoria, seq=81)
Latência medida: 0.554 ms (de 10.0.11.1 - Biblioteca, seq=81)
Latência medida: 0.364 ms (de 10.0.21.1 - Laboratorios, seq=82)
Latência medida: 0.377 ms (de 10.0.31.1 - Reitoria, seq=82)
Latência medida: 0.447 ms (de 10.0.11.1 - Biblioteca, seq=82)
Latência medida: 0.430 ms (de 10.0.21.1 - Laboratorios, seq=83)
Latência medida: 0.422 ms (de 10.0.31.1 - Reitoria, seq=83)
Latência medida: 0.478 ms (de 10.0.11.1 - Biblioteca, seq=83)
Latência medida: 0.444 ms (de 10.0.31.1 - Reitoria, seq=84)
Latência medida: 0.664 ms (de 10.0.21.1 - Laboratorios, seq=84)
Latência medida: 0.510 ms (de 10.0.11.1 - Biblioteca, seq=84)
Latência medida: 0.511 ms (de 10.0.31.1 - Reitoria, seq=85)
Latência medida: 0.555 ms (de 10.0.11.1 - Biblioteca, seq=85)
Latência medida: 0.604 ms (de 10.0.21.1 - Laboratorios, seq=85)
Latência medida: 0.515 ms (de 10.0.31.1 - Reitoria, seq=86)
