Iniciando monitor/controlador uRLLC em 10.0.99.1:5000 (Central de Monitoramento do campus)
Latência medida: 1537.888 ms (de 10.0.21.1 - Laboratorios, seq=23)
Latência medida: 813.714 ms (de 10.0.11.1 - Biblioteca, seq=35)
Latência medida: 466.077 ms (de 10.0.11.1 - Biblioteca, seq=36)
Latência medida: 119.934 ms (de 10.0.11.1 - Biblioteca, seq=37)
Latência medida: 120.504 ms (de 10.0.11.1 - Biblioteca, seq=38)
Latência medida: 346.083 ms (de 10.0.11.1 - Biblioteca, seq=39)
Latência medida: 3.689 ms (de 10.0.11.1 - Biblioteca, seq=40)
Latência medida: 4.095 ms (de 10.0.11.1 - Biblioteca, seq=41)
Latência medida: 4.231 ms (de 10.0.11.1 - Biblioteca, seq=42)
Sinal enviado: desativar
Latência medida: 3.559 ms (de 10.0.11.1 - Biblioteca, seq=43)
Latência medida: 2.805 ms (de 10.0.21.1 - Laboratorios, seq=24)
Latência medida: 3.727 ms (de 10.0.11.1 - Biblioteca, seq=44)
Latência medida: 2.931 ms (de 10.0.21.1 - Laboratorios, seq=25)
Latência medida: 3.963 ms (de 10.0.11.1 - Biblioteca, seq=45)
Latência medida: 2.936 ms (de 10.0.21.1 - Laboratorios, seq=26)
Latência medida: 4.090 ms (de 10.0.11.1 - Biblioteca, seq=46)
Latência medida: 2.539 ms (de 10.0.21.1 - Laboratorios, seq=27)
Latência medida: 4.093 ms (de 10.0.11.1 - Biblioteca, seq=47)
Latência medida: 2.807 ms (de 10.0.21.1 - Laboratorios, seq=28)
Latência medida: 1.363 ms (de 10.0.31.1 - Reitoria, seq=23)
Latência medida: 3.696 ms (de 10.0.11.1 - Biblioteca, seq=48)
Latência medida: 2.685 ms (de 10.0.21.1 - Laboratorios, seq=29)
Latência medida: 1.381 ms (de 10.0.31.1 - Reitoria, seq=24)
Latência medida: 3.869 ms (de 10.0.11.1 - Biblioteca, seq=49)
Latência medida: 2.860 ms (de 10.0.21.1 - Laboratorios, seq=30)
Latência medida: 11849.402 ms (de 10.0.21.1 - Laboratorios, seq=19)
Latência medida: 1.474 ms (de 10.0.31.1 - Reitoria, seq=25)
Latência medida: 3.685 ms (de 10.0.11.1 - Biblioteca, seq=50)
Latência medida: 2.827 ms (de 10.0.21.1 - Laboratorios, seq=31)
Latência medida: 1.454 ms (de 10.0.31.1 - Reitoria, seq=26)
Latência medida: 3.931 ms (de 10.0.11.1 - Biblioteca, seq=51)
Latência medida: 2.806 ms (de 10.0.21.1 - Laboratorios, seq=32)
Latência medida: 1.432 ms (de 10.0.31.1 - Reitoria, seq=27)
Latência medida: 3.948 ms (de 10.0.11.1 - Biblioteca, seq=52)
Latência medida: 2.902 ms (de 10.0.21.1 - Laboratorios, seq=33)
Latência medida: 1.582 ms (de 10.0.31.1 - Reitoria, seq=28)
Latência medida: 3.915 ms (de 10.0.11.1 - Biblioteca, seq=53)
Latência medida: 2.580 ms (de 10.0.21.1 - Laboratorios, seq=34)
Latência medida: 1.595 ms (de 10.0.31.1 - Reitoria, seq=29)
Latência medida: 3.877 ms (de 10.0.11.1 - Biblioteca, seq=54)
Latência medida: 2.500 ms (de 10.0.21.1 - Laboratorios, seq=35)
Latência medida: 1.371 ms (de 10.0.31.1 - Reitoria, seq=30)
Latência medida: 3.891 ms (de 10.0.11.1 - Biblioteca, seq=55)
Latência medida: 2.622 ms (de 10.0.21.1 - Laboratorios, seq=36)
Latência medida: 1.426 ms (de 10.0.31.1 - Reitoria, seq=31)
Latência medida: 4.231 ms (de 10.0.11.1 - Biblioteca, seq=56)
Latência medida: 2.665 ms (de 10.0.21.1 - Laboratorios, seq=37)
Latência medida: 1.574 ms (de 10.0.31.1 - Reitoria, seq=32)
Latência medida: 3.750 ms (de 10.0.11.1 - Biblioteca, seq=57)
Latência medida: 2.852 ms (de 10.0.21.1 - Laboratorios, seq=38)
Latência medida: 1.609 ms (de 10.0.31.1 - Reitoria, seq=33)
Latência medida: 3.699 ms (de 10.0.11.1 - Biblioteca, seq=58)
Latência medida: 2.605 ms (de 10.0.21.1 - Laboratorios, seq=39)
Latência medida: 1.430 ms (de 10.0.31.1 - Reitoria, seq=34)
Latência medida: 4.258 ms (de 10.0.11.1 - Biblioteca, seq=59)
Latência medida: 2.903 ms (de 10.0.21.1 - Laboratorios, seq=40)
Latência medida: 1.394 ms (de 10.0.31.1 - Reitoria, seq=35)
Latência medida: 3.864 ms (de 10.0.11.1 - Biblioteca, seq=60)
Latência medida: 2.578 ms (de 10.0.21.1 - Laboratorios, seq=41)
Latência medida: 1.346 ms (de 10.0.31.1 - Reitoria, seq=36)
Latência medida: 4.184 ms (de 10.0.11.1 - Biblioteca, seq=61)
Latência medida: 2.641 ms (de 10.0.21.1 - Laboratorios, seq=42)
Latência medida: 1.573 ms (de 10.0.31.1 - Reitoria, seq=37)
Latência medida: 3.893 ms (de 10.0.11.1 - Biblioteca, seq=62)
Latência medida: 1.354 ms (de 10.0.31.1 - Reitoria, seq=38)
Latência medida: 2.570 ms (de 10.0.21.1 - Laboratorios, seq=43)
Latência medida: 3.787 ms (de 10.0.11.1 - Biblioteca, seq=63)
Latência medida: 1.354 ms (de 10.0.31.1 - Reitoria, seq=39)
Latência medida: 2.401 ms (de 10.0.21.1 - Laboratorios, seq=44)
Latência medida: 3.803 ms (de 10.0.11.1 - Biblioteca, seq=64)
Latência medida: 1.338 ms (de 10.0.31.1 - Reitoria, seq=40)
Latência medida: 2.902 ms (de 10.0.21.1 - Laboratorios, seq=45)
Latência medida: 1.446 ms (de 10.0.31.1 - Reitoria, seq=41)
Latência medida: 4.349 ms (de 10.0.11.1 - Biblioteca, seq=65)
Latência medida: 2.511 ms (de 10.0.21.1 - Laboratorios, seq=46)
Latência medida: 1.573 ms (de 10.0.31.1 - Reitoria, seq=42)
Latência medida: 3.881 ms (de 10.0.11.1 - Biblioteca, seq=66)
Latência medida: 2.629 ms (de 10.0.21.1 - Laboratorios, seq=47)
