Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 55.541 ms
Latência uRLLC (RTT local): 575.973 ms
Latência uRLLC (RTT local): 333.957 ms
Latência uRLLC (RTT local): 353.560 ms
Latência uRLLC (RTT local): 56.043 ms
Latência uRLLC (RTT local): 631.250 ms
Latência uRLLC (RTT local): 516.041 ms
Latência uRLLC (RTT local): 331.654 ms
Latência uRLLC (RTT local): 915.867 ms
Latência uRLLC (RTT local): 1180.033 ms
Erro de conexão: [Errno 104] Connection reset by peer, reconectando
Latência uRLLC (RTT local): 572.679 ms
Latência uRLLC (RTT local): 693.861 ms
Latência uRLLC (RTT local): 56.134 ms
Latência uRLLC (RTT local): 677.583 ms
Latência uRLLC (RTT local): 317.658 ms
Latência uRLLC (RTT local): 528.703 ms
Latência uRLLC (RTT local): 316.440 ms
Latência uRLLC (RTT local): 814.071 ms
Latência uRLLC (RTT local): 1057.480 ms
Latência uRLLC (RTT local): 317.870 ms
Latência uRLLC (RTT local): 721.571 ms
Latência uRLLC (RTT local): 315.957 ms
Latência uRLLC (RTT local): 56.393 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 853.731 ms
Latência uRLLC (RTT local): 1251.897 ms
Latência uRLLC (RTT local): 315.712 ms
Latência uRLLC (RTT local): 749.893 ms
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 1154.683 ms
Latência uRLLC (RTT local): 987.841 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 55.695 ms
Latência uRLLC (RTT local): 569.764 ms
Latência uRLLC (RTT local): 333.640 ms
Latência uRLLC (RTT local): 1425.831 ms
Latência uRLLC (RTT local): 56.043 ms
Latência uRLLC (RTT local): 1062.955 ms
Latência uRLLC (RTT local): 56.090 ms
Latência uRLLC (RTT local): 646.110 ms
Latência uRLLC (RTT local): 1284.453 ms
Latência uRLLC (RTT local): 627.107 ms
Latência uRLLC (RTT local): 963.670 ms
Latência uRLLC (RTT local): 56.721 ms
Latência uRLLC (RTT local): 1638.642 ms
Latência uRLLC (RTT local): 57.504 ms
Latência uRLLC (RTT local): 829.644 ms
Latência uRLLC (RTT local): 55.915 ms
Latência uRLLC (RTT local): 327.626 ms
Latência uRLLC (RTT local): 1741.880 ms
Latência uRLLC (RTT local): 1753.548 ms
Latência uRLLC (RTT local): 325.771 ms
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 257.374 ms
Latência uRLLC (RTT local): 0.716 ms
Latência uRLLC (RTT local): 0.645 ms
Latência uRLLC (RTT local): 1.251 ms
Latência uRLLC (RTT local): 1.506 ms
Latência uRLLC (RTT local): 2.131 ms
Latência uRLLC (RTT local): 2.108 ms
Latência uRLLC (RTT local): 2.005 ms
Latência uRLLC (RTT local): 1.259 ms
Latência uRLLC (RTT local): 1.307 ms
Latência uRLLC (RTT local): 1.328 ms
Latência uRLLC (RTT local): 1.419 ms
Latência uRLLC (RTT local): 1.370 ms
Latência uRLLC (RTT local): 1.379 ms
Latência uRLLC (RTT local): 1.587 ms
Latência uRLLC (RTT local): 2.018 ms
Latência uRLLC (RTT local): 0.642 ms
Latência uRLLC (RTT local): 0.646 ms
Latência uRLLC (RTT local): 0.641 ms
Latência uRLLC (RTT local): 1.241 ms
Latência uRLLC (RTT local): 1.274 ms
Latência uRLLC (RTT local): 1.288 ms
Latência uRLLC (RTT local): 1.444 ms
Latência uRLLC (RTT local): 1.477 ms
Latência uRLLC (RTT local): 1.689 ms
Latência uRLLC (RTT local): 2.484 ms
Latência uRLLC (RTT local): 2.038 ms
Latência uRLLC (RTT local): 1.407 ms
Latência uRLLC (RTT local): 1.287 ms
Latência uRLLC (RTT local): 2.008 ms
Gerador uRLLC finalizado. 79 medições salvas; tentativas=85, falhas=6
