Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Latência uRLLC (RTT local): 55.810 ms
Latência uRLLC (RTT local): 2250.686 ms
Latência uRLLC (RTT local): 56.531 ms
Latência uRLLC (RTT local): 326.606 ms
Latência uRLLC (RTT local): 316.584 ms
Latência uRLLC (RTT local): 314.239 ms
Latência uRLLC (RTT local): 588.490 ms
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 319.147 ms
Latência uRLLC (RTT local): 55.920 ms
Latência uRLLC (RTT local): 328.364 ms
Latência uRLLC (RTT local): 739.738 ms
Latência uRLLC (RTT local): 1387.643 ms
Latência uRLLC (RTT local): 2107.783 ms
Erro de conexão: timed out, reconectando
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 572.116 ms
Latência uRLLC (RTT local): 693.573 ms
Latência uRLLC (RTT local): 730.063 ms
Latência uRLLC (RTT local): 317.206 ms
Latência uRLLC (RTT local): 1538.514 ms
Latência uRLLC (RTT local): 867.221 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 57.022 ms
Latência uRLLC (RTT local): 581.933 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 55.756 ms
Latência uRLLC (RTT local): 319.739 ms
Latência uRLLC (RTT local): 579.648 ms
Latência uRLLC (RTT local): 56.165 ms
Latência uRLLC (RTT local): 687.904 ms
Latência uRLLC (RTT local): 861.493 ms
Latência uRLLC (RTT local): 320.209 ms
Latência uRLLC (RTT local): 316.510 ms
Latência uRLLC (RTT local): 1424.793 ms
Latência uRLLC (RTT local): 1627.624 ms
Latência uRLLC (RTT local): 55.879 ms
Latência uRLLC (RTT local): 638.640 ms
Latência uRLLC (RTT local): 1028.714 ms
Latência uRLLC (RTT local): 627.049 ms
Latência uRLLC (RTT local): 316.548 ms
Latência uRLLC (RTT local): 317.800 ms
Latência uRLLC (RTT local): 56.154 ms
Latência uRLLC (RTT local): 312.809 ms
Latência uRLLC (RTT local): 333.555 ms
Latência uRLLC (RTT local): 953.778 ms
Latência uRLLC (RTT local): 835.217 ms
Latência uRLLC (RTT local): 325.495 ms
Latência uRLLC (RTT local): 56.030 ms
Latência uRLLC (RTT local): 56.027 ms
Latência uRLLC (RTT local): 321.839 ms
Latência uRLLC (RTT local): 863.420 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 1.683 ms
Latência uRLLC (RTT local): 1.262 ms
Latência uRLLC (RTT local): 1.357 ms
Latência uRLLC (RTT local): 1.377 ms
Latência uRLLC (RTT local): 1.094 ms
Latência uRLLC (RTT local): 1.809 ms
Latência uRLLC (RTT local): 1.291 ms
Latência uRLLC (RTT local): 2.394 ms
Latência uRLLC (RTT local): 0.612 ms
Latência uRLLC (RTT local): 0.559 ms
Latência uRLLC (RTT local): 0.629 ms
Latência uRLLC (RTT local): 1.112 ms
Latência uRLLC (RTT local): 1.070 ms
Latência uRLLC (RTT local): 1.299 ms
Latência uRLLC (RTT local): 1.281 ms
Latência uRLLC (RTT local): 1.654 ms
Latência uRLLC (RTT local): 1.195 ms
Latência uRLLC (RTT local): 2.290 ms
Latência uRLLC (RTT local): 1.827 ms
Latência uRLLC (RTT local): 2.242 ms
Latência uRLLC (RTT local): 1.232 ms
Latência uRLLC (RTT local): 1.753 ms
Gerador uRLLC finalizado. 69 medições salvas; tentativas=75, falhas=6
