Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Latência uRLLC (RTT local): 55.829 ms
Latência uRLLC (RTT local): 2250.952 ms
Latência uRLLC (RTT local): 579.528 ms
Latência uRLLC (RTT local): 56.171 ms
Latência uRLLC (RTT local): 319.720 ms
Latência uRLLC (RTT local): 55.466 ms
Latência uRLLC (RTT local): 319.223 ms
Latência uRLLC (RTT local): 315.667 ms
Latência uRLLC (RTT local): 56.331 ms
Latência uRLLC (RTT local): 55.513 ms
Latência uRLLC (RTT local): 835.760 ms
Latência uRLLC (RTT local): 1203.571 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 1131.694 ms
Latência uRLLC (RTT local): 55.756 ms
Latência uRLLC (RTT local): 327.815 ms
Latência uRLLC (RTT local): 547.826 ms
Latência uRLLC (RTT local): 323.635 ms
Latência uRLLC (RTT local): 868.757 ms
Latência uRLLC (RTT local): 55.744 ms
Latência uRLLC (RTT local): 55.947 ms
Latência uRLLC (RTT local): 329.556 ms
Latência uRLLC (RTT local): 333.593 ms
Latência uRLLC (RTT local): 329.942 ms
Latência uRLLC (RTT local): 56.109 ms
Latência uRLLC (RTT local): 1518.754 ms
Latência uRLLC (RTT local): 55.999 ms
Latência uRLLC (RTT local): 56.044 ms
Latência uRLLC (RTT local): 55.915 ms
Latência uRLLC (RTT local): 1749.766 ms
Latência uRLLC (RTT local): 915.877 ms
Latência uRLLC (RTT local): 56.504 ms
Latência uRLLC (RTT local): 56.079 ms
Latência uRLLC (RTT local): 330.519 ms
Latência uRLLC (RTT local): 683.725 ms
Latência uRLLC (RTT local): 603.651 ms
Latência uRLLC (RTT local): 56.216 ms
Latência uRLLC (RTT local): 327.461 ms
Latência uRLLC (RTT local): 325.570 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 55.712 ms
Latência uRLLC (RTT local): 56.069 ms
Latência uRLLC (RTT local): 573.465 ms
Latência uRLLC (RTT local): 691.788 ms
Latência uRLLC (RTT local): 693.791 ms
Latência uRLLC (RTT local): 314.685 ms
Latência uRLLC (RTT local): 796.948 ms
Latência uRLLC (RTT local): 1307.065 ms
Latência uRLLC (RTT local): 314.754 ms
Latência uRLLC (RTT local): 739.516 ms
Latência uRLLC (RTT local): 1315.835 ms
Latência uRLLC (RTT local): 981.815 ms
Latência uRLLC (RTT local): 55.678 ms
Latência uRLLC (RTT local): 1222.223 ms
Latência uRLLC (RTT local): 315.359 ms
Latência uRLLC (RTT local): 1077.622 ms
Latência uRLLC (RTT local): 56.222 ms
Latência uRLLC (RTT local): 1980.680 ms
Latência uRLLC (RTT local): 1053.707 ms
Latência uRLLC (RTT local): 905.677 ms
Latência uRLLC (RTT local): 747.965 ms
Latência uRLLC (RTT local): 1892.206 ms
Latência uRLLC (RTT local): 56.889 ms
Latência uRLLC (RTT local): 317.816 ms
Latência uRLLC (RTT local): 56.481 ms
Latência uRLLC (RTT local): 582.703 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 55.909 ms
Latência uRLLC (RTT local): 55.963 ms
Latência uRLLC (RTT local): 313.724 ms
Latência uRLLC (RTT local): 315.018 ms
Latência uRLLC (RTT local): 596.624 ms
Latência uRLLC (RTT local): 4652.042 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 1215.851 ms
Latência uRLLC (RTT local): 56.122 ms
Latência uRLLC (RTT local): 582.595 ms
Latência uRLLC (RTT local): 788.539 ms
Latência uRLLC (RTT local): 56.109 ms
Latência uRLLC (RTT local): 703.601 ms
Latência uRLLC (RTT local): 0.962 ms
Latência uRLLC (RTT local): 1.188 ms
Latência uRLLC (RTT local): 1.872 ms
Latência uRLLC (RTT local): 1.453 ms
Latência uRLLC (RTT local): 1.728 ms
Latência uRLLC (RTT local): 0.878 ms
Latência uRLLC (RTT local): 0.837 ms
Latência uRLLC (RTT local): 1.354 ms
Latência uRLLC (RTT local): 1.245 ms
Latência uRLLC (RTT local): 1.129 ms
Latência uRLLC (RTT local): 1.262 ms
Latência uRLLC (RTT local): 1.190 ms
Latência uRLLC (RTT local): 1.323 ms
Latência uRLLC (RTT local): 0.369 ms
Latência uRLLC (RTT local): 0.464 ms
Latência uRLLC (RTT local): 0.610 ms
Latência uRLLC (RTT local): 0.829 ms
Latência uRLLC (RTT local): 1.050 ms
Latência uRLLC (RTT local): 0.736 ms
Latência uRLLC (RTT local): 1.123 ms
Latência uRLLC (RTT local): 1.098 ms
Latência uRLLC (RTT local): 1.675 ms
Latência uRLLC (RTT local): 2.195 ms
Latência uRLLC (RTT local): 1.557 ms
Latência uRLLC (RTT local): 1.303 ms
Latência uRLLC (RTT local): 1.587 ms
Latência uRLLC (RTT local): 1.147 ms
Gerador uRLLC finalizado. 103 medições salvas; tentativas=107, falhas=4
