timestamp_recebimento,ip_origem,site,sequencia,latencia_ms
1784976859.727889,10.0.11.1,Biblioteca,0,1151.613
1784976859.727512,10.0.31.1,Reitoria,0,1149.780
1784976859.884233,10.0.31.1,Reitoria,1,55.757
1784976860.300339,10.0.31.1,Reitoria,2,55.788
1784976861.300430,10.0.31.1,Reitoria,3,55.890
1784976861.747986,10.0.31.1,Reitoria,4,55.672
1784976862.543455,10.0.31.1,Reitoria,5,694.798
1784976863.284096,10.0.31.1,Reitoria,6,55.642
1784976864.143410,10.0.31.1,Reitoria,7,758.104
1784976865.863707,10.0.21.1,Laboratorios,0,56.394
1784976871.183358,10.0.11.1,Biblioteca,1,1097.195
1784976871.279705,10.0.21.1,Laboratorios,0,314.927
1784976871.686826,10.0.31.1,Reitoria,7,55.621
1784976871.845209,10.0.31.1,Reitoria,8,55.651
1784976872.271767,10.0.21.1,Laboratorios,1,890.727
1784976873.487411,10.0.21.1,Laboratorios,2,1114.387
1784976873.911229,10.0.21.1,Laboratorios,3,319.191
1784976876.415381,10.0.31.1,Reitoria,9,368.250
1784976876.829121,10.0.31.1,Reitoria,10,55.659
1784976877.248473,10.0.31.1,Reitoria,11,315.272
1784976880.335717,10.0.31.1,Reitoria,12,929.574
1784976885.638788,10.0.31.1,Reitoria,12,55.430
1784976887.048320,10.0.11.1,Biblioteca,1,56.177
1784976887.992413,10.0.11.1,Biblioteca,2,315.092
1784976888.536429,10.0.21.1,Laboratorios,3,583.606
1784976888.938238,10.0.11.1,Biblioteca,3,316.846
1784976892.159921,10.0.31.1,Reitoria,12,367.740
1784976892.316734,10.0.31.1,Reitoria,13,55.997
1784976892.475962,10.0.31.1,Reitoria,14,55.801
1784976892.896300,10.0.31.1,Reitoria,15,319.199
1784976893.314181,10.0.31.1,Reitoria,16,315.758
1784976895.120450,10.0.31.1,Reitoria,17,658.020
1784976897.864935,10.0.31.1,Reitoria,18,55.926
1784976898.287913,10.0.31.1,Reitoria,19,319.761
1784976898.449454,10.0.31.1,Reitoria,20,55.882
1784976899.256519,10.0.31.1,Reitoria,21,439.101
1784976904.030054,10.0.31.1,Reitoria,21,56.072
1784976904.186840,10.0.31.1,Reitoria,22,55.802
1784976905.656025,10.0.31.1,Reitoria,23,314.873
1784976906.868937,10.0.31.1,Reitoria,24,55.447
1784976907.663996,10.0.31.1,Reitoria,25,434.392
1784976908.204303,10.0.31.1,Reitoria,26,437.953
1784976911.624413,10.0.21.1,Laboratorios,3,56.230
1784976913.882000,10.0.31.1,Reitoria,26,0.716
1784976913.986233,10.0.31.1,Reitoria,27,0.628
1784976914.026932,10.0.21.1,Laboratorios,4,0.822
1784976914.090519,10.0.31.1,Reitoria,28,0.645
1784976914.133787,10.0.21.1,Laboratorios,5,0.770
1784976914.192087,10.0.31.1,Reitoria,29,0.652
1784976914.235657,10.0.21.1,Laboratorios,6,0.826
1784976914.267119,10.0.11.1,Biblioteca,3,0.718
1784976914.294736,10.0.31.1,Reitoria,30,0.761
1784976914.340592,10.0.21.1,Laboratorios,7,0.781
1784976914.369930,10.0.11.1,Biblioteca,4,0.911
1784976914.397282,10.0.31.1,Reitoria,31,0.647
1784976914.442855,10.0.21.1,Laboratorios,8,0.605
1784976914.477485,10.0.11.1,Biblioteca,5,1.152
1784976914.500256,10.0.31.1,Reitoria,32,0.665
1784976914.549253,10.0.21.1,Laboratorios,9,1.062
1784976914.583460,10.0.11.1,Biblioteca,6,1.935
1784976914.603013,10.0.31.1,Reitoria,33,1.189
1784976914.651219,10.0.21.1,Laboratorios,10,0.654
1784976914.688715,10.0.11.1,Biblioteca,7,1.469
1784976914.705339,10.0.31.1,Reitoria,34,0.706
1784976914.754313,10.0.21.1,Laboratorios,11,0.892
1784976914.795000,10.0.11.1,Biblioteca,8,0.957
1784976914.808059,10.0.31.1,Reitoria,35,0.552
1784976914.856120,10.0.21.1,Laboratorios,12,0.714
1784976914.900773,10.0.11.1,Biblioteca,9,0.983
1784976914.909646,10.0.31.1,Reitoria,36,0.646
1784976914.958297,10.0.21.1,Laboratorios,13,0.698
1784976915.007946,10.0.11.1,Biblioteca,10,1.186
1784976915.011011,10.0.31.1,Reitoria,37,0.508
1784976915.061514,10.0.21.1,Laboratorios,14,0.833
1784976915.111844,10.0.11.1,Biblioteca,11,0.846
1784976915.112211,10.0.31.1,Reitoria,38,0.354
1784976915.163513,10.0.21.1,Laboratorios,15,0.666
1784976915.215408,10.0.31.1,Reitoria,39,0.738
1784976915.216851,10.0.11.1,Biblioteca,12,0.870
1784976915.265684,10.0.21.1,Laboratorios,16,0.639
1784976915.318973,10.0.31.1,Reitoria,40,0.679
1784976915.320407,10.0.11.1,Biblioteca,13,1.334
1784976915.371541,10.0.21.1,Laboratorios,17,0.710
1784976915.422819,10.0.11.1,Biblioteca,14,1.079
1784976915.423209,10.0.31.1,Reitoria,41,0.880
1784976915.474236,10.0.21.1,Laboratorios,18,0.733
1784976915.526034,10.0.31.1,Reitoria,42,0.615
1784976915.529547,10.0.11.1,Biblioteca,15,0.812
1784976915.583344,10.0.21.1,Laboratorios,19,2.648
1784976915.633356,10.0.31.1,Reitoria,43,1.549
1784976915.634149,10.0.11.1,Biblioteca,16,2.395
1784976915.685261,10.0.21.1,Laboratorios,20,0.721
1784976915.736535,10.0.31.1,Reitoria,44,1.125
1784976915.741331,10.0.11.1,Biblioteca,17,0.893
1784976915.788228,10.0.21.1,Laboratorios,21,0.830
1784976915.839240,10.0.31.1,Reitoria,45,0.648
1784976915.845284,10.0.11.1,Biblioteca,18,1.119
1784976915.890222,10.0.21.1,Laboratorios,22,0.875
1784976915.943249,10.0.31.1,Reitoria,46,0.831
1784976915.947901,10.0.11.1,Biblioteca,19,0.903
1784976915.996615,10.0.21.1,Laboratorios,23,0.657
1784976916.045087,10.0.31.1,Reitoria,47,0.735
1784976916.051682,10.0.11.1,Biblioteca,20,0.830
1784976916.098324,10.0.21.1,Laboratorios,24,0.574
1784976916.151473,10.0.31.1,Reitoria,48,1.051
1784976916.157095,10.0.11.1,Biblioteca,21,0.820
1784976916.199781,10.0.21.1,Laboratorios,25,0.557
1784976916.253620,10.0.31.1,Reitoria,49,0.722
1784976916.264180,10.0.11.1,Biblioteca,22,1.159
1784976916.301913,10.0.21.1,Laboratorios,26,0.836
1784976916.357450,10.0.31.1,Reitoria,50,1.021
1784976916.367377,10.0.11.1,Biblioteca,23,0.854
1784976916.404942,10.0.21.1,Laboratorios,27,0.737
1784976916.459197,10.0.31.1,Reitoria,51,0.656
