Iniciando monitor/controlador uRLLC em 10.0.99.1:5000 (Central de Monitoramento do campus)
Latência medida: 59.861 ms (de 10.0.31.1 - Reitoria, seq=0)
Latência medida: 1614.312 ms (de 10.0.21.1 - Laboratorios, seq=0)
Sinal enviado: ativar
Latência medida: 118.748 ms (de 10.0.21.1 - Laboratorios, seq=1)
Latência medida: 1140.758 ms (de 10.0.31.1 - Reitoria, seq=1)
Latência medida: 59.997 ms (de 10.0.31.1 - Reitoria, seq=2)
Latência medida: 321.321 ms (de 10.0.31.1 - Reitoria, seq=3)
Latência medida: 59.843 ms (de 10.0.31.1 - Reitoria, seq=4)
Latência medida: 1660.273 ms (de 10.0.11.1 - Biblioteca, seq=0)
Latência medida: 853.909 ms (de 10.0.21.1 - Laboratorios, seq=2)
Latência medida: 1619.264 ms (de 10.0.11.1 - Biblioteca, seq=1)
Latência medida: 857.631 ms (de 10.0.21.1 - Laboratorios, seq=3)
Latência medida: 486.071 ms (de 10.0.11.1 - Biblioteca, seq=2)
Latência medida: 473.439 ms (de 10.0.21.1 - Laboratorios, seq=4)
Latência medida: 474.851 ms (de 10.0.11.1 - Biblioteca, seq=3)
Latência medida: 117.951 ms (de 10.0.21.1 - Laboratorios, seq=5)
Latência medida: 118.789 ms (de 10.0.21.1 - Laboratorios, seq=6)
Latência medida: 457.092 ms (de 10.0.21.1 - Laboratorios, seq=7)
Latência medida: 814.307 ms (de 10.0.11.1 - Biblioteca, seq=4)
Latência medida: 458.210 ms (de 10.0.21.1 - Laboratorios, seq=8)
Latência medida: 806.703 ms (de 10.0.11.1 - Biblioteca, seq=5)
Latência medida: 455.493 ms (de 10.0.21.1 - Laboratorios, seq=9)
Latência medida: 457.493 ms (de 10.0.11.1 - Biblioteca, seq=6)
Latência medida: 1145.043 ms (de 10.0.21.1 - Laboratorios, seq=10)
Latência medida: 1136.143 ms (de 10.0.11.1 - Biblioteca, seq=7)
Latência medida: 777.832 ms (de 10.0.21.1 - Laboratorios, seq=11)
Latência medida: 488.007 ms (de 10.0.21.1 - Laboratorios, seq=12)
Latência medida: 491.293 ms (de 10.0.21.1 - Laboratorios, seq=13)
Latência medida: 490.982 ms (de 10.0.11.1 - Biblioteca, seq=8)
Latência medida: 476.909 ms (de 10.0.21.1 - Laboratorios, seq=14)
Latência medida: 1257.905 ms (de 10.0.11.1 - Biblioteca, seq=9)
Latência medida: 840.382 ms (de 10.0.11.1 - Biblioteca, seq=10)
Latência medida: 119.808 ms (de 10.0.21.1 - Laboratorios, seq=15)
Latência medida: 119.501 ms (de 10.0.21.1 - Laboratorios, seq=16)
Latência medida: 476.796 ms (de 10.0.21.1 - Laboratorios, seq=17)
Latência medida: 467.280 ms (de 10.0.21.1 - Laboratorios, seq=18)
