Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 496.295 ms
Latência uRLLC (RTT local): 501.546 ms
Latência uRLLC (RTT local): 850.107 ms
Latência uRLLC (RTT local): 123.922 ms
Latência uRLLC (RTT local): 123.727 ms
Latência uRLLC (RTT local): 123.288 ms
Latência uRLLC (RTT local): 123.611 ms
Latência uRLLC (RTT local): 123.291 ms
Latência uRLLC (RTT local): 460.815 ms
Latência uRLLC (RTT local): 123.481 ms
Latência uRLLC (RTT local): 123.416 ms
Latência uRLLC (RTT local): 123.770 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 495.228 ms
Latência uRLLC (RTT local): 1290.345 ms
Latência uRLLC (RTT local): 124.048 ms
Latência uRLLC (RTT local): 123.929 ms
Latência uRLLC (RTT local): 124.025 ms
Latência uRLLC (RTT local): 123.325 ms
Latência uRLLC (RTT local): 124.036 ms
Latência uRLLC (RTT local): 123.901 ms
Latência uRLLC (RTT local): 123.856 ms
Latência uRLLC (RTT local): 452.449 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 872.072 ms
Latência uRLLC (RTT local): 124.071 ms
Latência uRLLC (RTT local): 123.936 ms
Latência uRLLC (RTT local): 123.369 ms
Latência uRLLC (RTT local): 826.267 ms
Latência uRLLC (RTT local): 123.995 ms
Latência uRLLC (RTT local): 124.034 ms
Latência uRLLC (RTT local): 123.931 ms
Latência uRLLC (RTT local): 123.987 ms
Latência uRLLC (RTT local): 123.659 ms
Latência uRLLC (RTT local): 123.669 ms
Latência uRLLC (RTT local): 124.070 ms
Latência uRLLC (RTT local): 122.775 ms
Latência uRLLC (RTT local): 123.342 ms
Latência uRLLC (RTT local): 122.869 ms
Latência uRLLC (RTT local): 454.206 ms
Latência uRLLC (RTT local): 123.881 ms
Latência uRLLC (RTT local): 451.730 ms
Latência uRLLC (RTT local): 123.983 ms
Latência uRLLC (RTT local): 123.919 ms
Latência uRLLC (RTT local): 122.860 ms
Latência uRLLC (RTT local): 123.337 ms
Latência uRLLC (RTT local): 123.950 ms
Latência uRLLC (RTT local): 123.939 ms
Latência uRLLC (RTT local): 452.394 ms
Latência uRLLC (RTT local): 124.054 ms
Latência uRLLC (RTT local): 123.188 ms
Latência uRLLC (RTT local): 123.564 ms
Latência uRLLC (RTT local): 123.983 ms
Latência uRLLC (RTT local): 123.913 ms
Latência uRLLC (RTT local): 123.828 ms
Latência uRLLC (RTT local): 123.464 ms
Latência uRLLC (RTT local): 452.542 ms
Latência uRLLC (RTT local): 122.627 ms
Latência uRLLC (RTT local): 124.006 ms
Latência uRLLC (RTT local): 124.178 ms
Latência uRLLC (RTT local): 123.411 ms
Latência uRLLC (RTT local): 123.831 ms
Latência uRLLC (RTT local): 452.462 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 1634.517 ms
Latência uRLLC (RTT local): 873.111 ms
Latência uRLLC (RTT local): 483.393 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 494.170 ms
Latência uRLLC (RTT local): 123.714 ms
Latência uRLLC (RTT local): 124.124 ms
Latência uRLLC (RTT local): 1548.396 ms
Latência uRLLC (RTT local): 123.364 ms
Latência uRLLC (RTT local): 124.000 ms
Latência uRLLC (RTT local): 460.919 ms
Latência uRLLC (RTT local): 122.872 ms
Latência uRLLC (RTT local): 123.945 ms
Latência uRLLC (RTT local): 124.146 ms
Latência uRLLC (RTT local): 451.848 ms
Falha ao medir latência, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 380.738 ms
Latência uRLLC (RTT local): 8.349 ms
Latência uRLLC (RTT local): 7.818 ms
Latência uRLLC (RTT local): 7.838 ms
Latência uRLLC (RTT local): 7.934 ms
Latência uRLLC (RTT local): 7.961 ms
Latência uRLLC (RTT local): 7.787 ms
Latência uRLLC (RTT local): 7.801 ms
Latência uRLLC (RTT local): 8.272 ms
Latência uRLLC (RTT local): 7.378 ms
Latência uRLLC (RTT local): 7.846 ms
Latência uRLLC (RTT local): 8.062 ms
Latência uRLLC (RTT local): 7.944 ms
Latência uRLLC (RTT local): 7.838 ms
Latência uRLLC (RTT local): 8.396 ms
Latência uRLLC (RTT local): 8.541 ms
Latência uRLLC (RTT local): 9.932 ms
Latência uRLLC (RTT local): 9.233 ms
Latência uRLLC (RTT local): 7.861 ms
Latência uRLLC (RTT local): 7.909 ms
Latência uRLLC (RTT local): 7.990 ms
Latência uRLLC (RTT local): 8.037 ms
Latência uRLLC (RTT local): 8.049 ms
Latência uRLLC (RTT local): 8.265 ms
Latência uRLLC (RTT local): 8.078 ms
Latência uRLLC (RTT local): 8.162 ms
Gerador uRLLC finalizado. 101 medições salvas; tentativas=109, falhas=8
