latencia_ms
840.251
3.863
0.607
0.565
1.768
2.117
2.147
2.006
1.791
1.667
2.065
1.376
1.673
1.645
0.957
1.878
1.144
1.231
1.642
1.477
1.413
1.002
1.457
1.886
1.299
1.497
