timestamp_recebimento,ip_origem,site,sequencia,latencia_ms
1784976557.562679,10.0.21.1,Laboratorios,0,485.059
1784976557.947530,10.0.11.1,Biblioteca,0,870.052
1784976558.148524,10.0.21.1,Laboratorios,1,483.444
1784976558.170533,10.0.11.1,Biblioteca,1,119.404
1784976558.394721,10.0.11.1,Biblioteca,2,120.526
1784976558.722545,10.0.21.1,Laboratorios,2,471.433
1784976558.943674,10.0.21.1,Laboratorios,3,118.531
1784976558.970527,10.0.11.1,Biblioteca,3,472.166
1784976559.166050,10.0.21.1,Laboratorios,4,119.323
1784976559.387412,10.0.21.1,Laboratorios,5,118.925
1784976560.267133,10.0.11.1,Biblioteca,4,1192.939
1784976560.835290,10.0.11.1,Biblioteca,5,464.640
1784976561.059413,10.0.11.1,Biblioteca,6,120.454
1784976561.618418,10.0.11.1,Biblioteca,7,455.239
1784976561.730740,10.0.21.1,Laboratorios,6,119.708
1784976561.842000,10.0.11.1,Biblioteca,8,119.871
1784976562.731462,10.0.11.1,Biblioteca,9,785.918
1784976566.706278,10.0.21.1,Laboratorios,7,485.405
1784976567.299483,10.0.21.1,Laboratorios,8,490.785
1784976568.970547,10.0.21.1,Laboratorios,9,1568.564
1784976569.890420,10.0.21.1,Laboratorios,10,817.139
1784976571.530182,10.0.21.1,Laboratorios,11,1537.087
1784976571.752092,10.0.21.1,Laboratorios,12,119.454
1784976571.973680,10.0.21.1,Laboratorios,13,119.142
1784976572.530424,10.0.21.1,Laboratorios,14,454.226
1784976572.752183,10.0.21.1,Laboratorios,15,119.214
1784976573.306471,10.0.21.1,Laboratorios,16,451.848
1784976573.528335,10.0.21.1,Laboratorios,17,119.370
1784976573.947325,10.0.11.1,Biblioteca,10,492.682
1784976575.114405,10.0.21.1,Laboratorios,18,1483.583
1784976575.307461,10.0.11.1,Biblioteca,11,1256.550
1784976575.531622,10.0.11.1,Biblioteca,12,120.255
1784976575.755757,10.0.11.1,Biblioteca,13,120.428
1784976576.323148,10.0.11.1,Biblioteca,14,463.827
1784976576.650405,10.0.21.1,Laboratorios,19,1433.596
1784976576.872174,10.0.21.1,Laboratorios,20,119.280
1784976577.418118,10.0.21.1,Laboratorios,21,443.485
1784976577.964202,10.0.21.1,Laboratorios,22,443.651
1784976578.669634,10.0.11.1,Biblioteca,15,120.519
1784976581.042183,10.0.21.1,Laboratorios,23,853.879
1784976581.634006,10.0.21.1,Laboratorios,24,489.062
1784976583.795388,10.0.11.1,Biblioteca,16,868.959
1784976587.028866,10.0.31.1,Reitoria,0,60.017
1784976587.190243,10.0.31.1,Reitoria,1,59.822
1784976587.616421,10.0.31.1,Reitoria,2,324.682
1784976588.040997,10.0.31.1,Reitoria,3,323.122
1784976589.628309,10.0.11.1,Biblioteca,17,492.996
1784976589.852231,10.0.11.1,Biblioteca,18,120.198
1784976590.075740,10.0.11.1,Biblioteca,19,120.093
1784976590.263625,10.0.31.1,Reitoria,4,59.891
