timestamp_recebimento,ip_origem,site,sequencia,latencia_ms
1784977214.219556,10.0.31.1,Reitoria,11,0.622
1784977214.321380,10.0.11.1,Biblioteca,11,1.659
1784977214.321005,10.0.21.1,Laboratorios,11,1.510
1784977214.323235,10.0.31.1,Reitoria,12,0.900
1784977214.426656,10.0.21.1,Laboratorios,12,1.323
1784977214.428774,10.0.31.1,Reitoria,13,1.038
1784977214.428524,10.0.11.1,Biblioteca,12,1.061
1784977214.530103,10.0.21.1,Laboratorios,13,0.619
1784977214.532151,10.0.11.1,Biblioteca,13,0.669
1784977214.531957,10.0.31.1,Reitoria,14,0.493
1784977214.635271,10.0.31.1,Reitoria,15,0.808
1784977214.635751,10.0.21.1,Laboratorios,14,1.070
1784977214.636212,10.0.11.1,Biblioteca,14,1.529
1784977214.738501,10.0.21.1,Laboratorios,15,0.689
1784977214.740229,10.0.11.1,Biblioteca,15,0.581
1784977214.740664,10.0.31.1,Reitoria,16,0.466
1784977214.841405,10.0.21.1,Laboratorios,16,1.048
1784977214.845073,10.0.11.1,Biblioteca,16,0.774
1784977214.845380,10.0.31.1,Reitoria,17,0.305
1784977214.943667,10.0.21.1,Laboratorios,17,0.591
1784977214.948274,10.0.11.1,Biblioteca,17,1.265
1784977214.951973,10.0.31.1,Reitoria,18,0.816
1784977215.050661,10.0.21.1,Laboratorios,18,0.913
1784977215.053468,10.0.11.1,Biblioteca,18,1.101
1784977215.057251,10.0.31.1,Reitoria,19,0.651
1784977215.153625,10.0.21.1,Laboratorios,19,0.785
1784977215.157968,10.0.11.1,Biblioteca,19,0.897
1784977215.161801,10.0.31.1,Reitoria,20,0.507
1784977215.259855,10.0.21.1,Laboratorios,20,0.833
1784977215.264786,10.0.11.1,Biblioteca,20,0.735
1784977215.266862,10.0.31.1,Reitoria,21,0.412
1784977215.363641,10.0.21.1,Laboratorios,21,0.946
1784977215.368136,10.0.11.1,Biblioteca,21,1.041
1784977215.373239,10.0.31.1,Reitoria,22,0.576
1784977215.468064,10.0.21.1,Laboratorios,22,1.154
1784977215.472963,10.0.11.1,Biblioteca,22,0.900
1784977215.478048,10.0.31.1,Reitoria,23,0.759
1784977215.569905,10.0.21.1,Laboratorios,23,0.672
1784977215.574410,10.0.11.1,Biblioteca,23,0.623
1784977215.582295,10.0.31.1,Reitoria,24,0.629
1784977215.676218,10.0.21.1,Laboratorios,24,0.771
1784977215.680844,10.0.11.1,Biblioteca,24,0.837
1784977215.686383,10.0.31.1,Reitoria,25,0.571
1784977230.693817,10.0.11.1,Biblioteca,0,55.586
1784977234.061441,10.0.31.1,Reitoria,0,311.795
1784977234.069613,10.0.21.1,Laboratorios,0,319.881
1784977287.999033,10.0.21.1,Laboratorios,0,1.593
1784977287.999954,10.0.31.1,Reitoria,0,2.529
1784977288.001228,10.0.11.1,Biblioteca,0,3.462
1784977288.101156,10.0.31.1,Reitoria,1,0.340
1784977288.101272,10.0.21.1,Laboratorios,1,0.479
1784977288.105019,10.0.11.1,Biblioteca,1,0.315
1784977288.211839,10.0.31.1,Reitoria,2,0.345
1784977288.211991,10.0.21.1,Laboratorios,2,0.495
1784977288.215676,10.0.11.1,Biblioteca,2,0.367
1784977288.314017,10.0.21.1,Laboratorios,3,0.947
1784977288.315046,10.0.31.1,Reitoria,3,0.560
1784977288.320346,10.0.11.1,Biblioteca,3,0.805
1784977288.416755,10.0.21.1,Laboratorios,4,1.424
1784977288.422484,10.0.11.1,Biblioteca,4,1.280
1784977288.423996,10.0.31.1,Reitoria,4,0.602
1784977288.518996,10.0.21.1,Laboratorios,5,0.974
1784977288.525076,10.0.11.1,Biblioteca,5,1.057
1784977288.528216,10.0.31.1,Reitoria,5,0.621
1784977288.621478,10.0.21.1,Laboratorios,6,1.421
1784977288.627077,10.0.11.1,Biblioteca,6,1.146
1784977288.632675,10.0.31.1,Reitoria,6,0.973
1784977288.724301,10.0.21.1,Laboratorios,7,1.308
1784977288.729498,10.0.11.1,Biblioteca,7,1.142
1784977288.736670,10.0.31.1,Reitoria,7,0.772
1784977288.829296,10.0.21.1,Laboratorios,8,1.424
1784977288.841245,10.0.11.1,Biblioteca,8,0.907
1784977288.843206,10.0.31.1,Reitoria,8,1.268
1784977288.934359,10.0.21.1,Laboratorios,9,1.177
1784977288.949051,10.0.11.1,Biblioteca,9,1.391
1784977288.948627,10.0.31.1,Reitoria,9,0.821
1784977289.041426,10.0.21.1,Laboratorios,10,1.736
1784977289.054650,10.0.11.1,Biblioteca,10,1.444
1784977289.056331,10.0.31.1,Reitoria,10,0.730
1784977289.145408,10.0.21.1,Laboratorios,11,1.566
1784977289.157081,10.0.11.1,Biblioteca,11,1.048
1784977289.160583,10.0.31.1,Reitoria,11,0.898
1784977289.249264,10.0.21.1,Laboratorios,12,1.462
1784977289.263559,10.0.11.1,Biblioteca,12,1.857
1784977289.263139,10.0.31.1,Reitoria,12,1.242
1784977289.351315,10.0.21.1,Laboratorios,13,0.576
1784977289.365179,10.0.31.1,Reitoria,13,0.633
1784977289.365453,10.0.11.1,Biblioteca,13,0.718
1784977289.453737,10.0.21.1,Laboratorios,14,0.736
1784977289.467406,10.0.11.1,Biblioteca,14,1.203
1784977289.469577,10.0.31.1,Reitoria,14,0.540
1784977289.557920,10.0.21.1,Laboratorios,15,0.702
1784977289.569871,10.0.11.1,Biblioteca,15,0.800
1784977289.572489,10.0.31.1,Reitoria,15,0.749
1784977289.662186,10.0.21.1,Laboratorios,16,0.834
1784977289.673496,10.0.11.1,Biblioteca,16,1.422
1784977289.674699,10.0.31.1,Reitoria,16,0.712
1784977289.771816,10.0.21.1,Laboratorios,17,0.667
1784977289.775476,10.0.11.1,Biblioteca,17,0.712
1784977289.776534,10.0.31.1,Reitoria,17,0.454
1784977289.874524,10.0.21.1,Laboratorios,18,0.731
1784977289.885736,10.0.11.1,Biblioteca,18,0.927
1784977289.887341,10.0.31.1,Reitoria,18,0.529
1784977289.976506,10.0.21.1,Laboratorios,19,0.866
1784977289.989220,10.0.11.1,Biblioteca,19,1.219
1784977289.990586,10.0.31.1,Reitoria,19,0.514
1784977290.079956,10.0.21.1,Laboratorios,20,0.684
1784977290.092573,10.0.11.1,Biblioteca,20,1.045
1784977290.094769,10.0.31.1,Reitoria,20,0.754
1784977290.192245,10.0.21.1,Laboratorios,21,1.254
